movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
How to Train Your Dragon,Dean DeBlois,Jay Baruchel,Gerard Butler,Craig Ferguson,Fantasy Adventure Animation Family,friendship ship blacksmith island based on novel or book flying arena village villain training ignorance vikings (norsemen) forest flight nest dragon battle combat well warrior pets,10191,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,dean deblois jay baruchel gerard butler craig ferguson fantasy adventure animation family friendship ship blacksmith island based on novel or book flying arena village villain training ignorance vikings (norsemen) forest flight nest dragon battle combat well warrior pets
Grown Ups,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,Comedy,friendship overweight convertible swing foot friends arrow buddy comedy buddies,38365,/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,dennis dugan adam sandler kevin james chris rock comedy friendship overweight convertible swing foot friends arrow buddy comedy buddies
Inception,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe,Action Science Fiction Adventure,"rescue mission dreams airplane paris, france virtual reality kidnapping philosophy spy allegory manipulation car crash heist memory architecture los angeles, california dream world subconscious powerful",27205,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,"christopher nolan leonardo dicaprio joseph gordon-levitt ken watanabe action science fiction adventure rescue mission dreams airplane paris, france virtual reality kidnapping philosophy spy allegory manipulation car crash heist memory architecture los angeles, california dream world subconscious powerful"
The Karate Kid,Harald Zwart,Jaden Smith,Jackie Chan,Taraji P. Henson,Action Adventure Drama Family,martial arts duringcreditsstinger karate kid the karate kid intense pretentious straightforward tragic,38575,/b1RBy3l297N0c7PHjlz35cClWju.jpg,harald zwart jaden smith jackie chan taraji p. henson action adventure drama family martial arts duringcreditsstinger karate kid the karate kid intense pretentious straightforward tragic
Room in Rome,Julio Medem,Elena Anaya,Natasha Yarovenko,Enrico Lo Verso,Drama Romance,"hotel hotel room rome, italy female friendship one-night stand lesbian sex based on movie lying erotic movie intimacy lesbian",48650,/gx2ENSap1D4nbjcz7cLLAs4S3fy.jpg,"julio medem elena anaya natasha yarovenko enrico lo verso drama romance hotel hotel room rome, italy female friendship one-night stand lesbian sex based on movie lying erotic movie intimacy lesbian"
Tangled,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,Animation Family Adventure,princess magic hostage fairy tale horse villain musical blonde tower selfishness healing power female villain adventurer based on fairy tale duringcreditsstinger healing gift animal sidekick magic land,38757,/ym7Kst6a4uodryxqbGOxmewF235.jpg,byron howard mandy moore zachary levi donna murphy animation family adventure princess magic hostage fairy tale horse villain musical blonde tower selfishness healing power female villain adventurer based on fairy tale duringcreditsstinger healing gift animal sidekick magic land
Harry Potter and the Deathly Hallows: Part 1,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Adventure Fantasy,"witch friendship london, england corruption escape teleportation isolation magic bravery radio road trip shelter tension attack werewolf ghost road movie wizard christmas based on young adult novel",12444,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,"david yates daniel radcliffe emma watson rupert grint adventure fantasy witch friendship london, england corruption escape teleportation isolation magic bravery radio road trip shelter tension attack werewolf ghost road movie wizard christmas based on young adult novel"
The Social Network,David Fincher,Jesse Eisenberg,Andrew Garfield,Armie Hammer,Drama,"hacker based on novel or book boston, massachusetts ex-girlfriend harvard university narcissism based on true story hacking historical fiction twins double cross creator frat party social network deposition intellectual property entrepreneur arrogance social media meditative young entrepreneur facebook legal drama critical tense antagonistic callous wry",37799,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,"david fincher jesse eisenberg andrew garfield armie hammer drama hacker based on novel or book boston, massachusetts ex-girlfriend harvard university narcissism based on true story hacking historical fiction twins double cross creator frat party social network deposition intellectual property entrepreneur arrogance social media meditative young entrepreneur facebook legal drama critical tense antagonistic callous wry"
Shutter Island,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Drama Thriller Mystery,island based on novel or book hurricane investigation u.s. marshal conspiracy theory psychiatric hospital psychological thriller whodunit neo-noir 1950s dreary baffled,11324,/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,martin scorsese leonardo dicaprio mark ruffalo ben kingsley drama thriller mystery island based on novel or book hurricane investigation u.s. marshal conspiracy theory psychiatric hospital psychological thriller whodunit neo-noir 1950s dreary baffled
Shrek Forever After,Mike Mitchell,Mike Myers,Eddie Murphy,Cameron Diaz,Comedy Adventure Fantasy Animation Family,witch sequel ogre,10192,/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg,mike mitchell mike myers eddie murphy cameron diaz comedy adventure fantasy animation family witch sequel ogre
Love & Other Drugs,Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Oliver Platt,Drama Comedy Romance,letter sexual freedom love viagra free spirit,43347,/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg,edward zwick jake gyllenhaal anne hathaway oliver platt drama comedy romance letter sexual freedom love viagra free spirit
Iron Man 2,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Adventure Action Science Fiction,technology superhero malibu based on comic revenge aftercreditsstinger marvel cinematic universe (mcu) break out,10138,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,jon favreau robert downey jr. gwyneth paltrow don cheadle adventure action science fiction technology superhero malibu based on comic revenge aftercreditsstinger marvel cinematic universe (mcu) break out
The Expendables,Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,Thriller Adventure Action,rescue sniper island martial arts tattoo escape mercenary bridge church drugs blade duringcreditsstinger exhilarated,27578,/j09ZkH6R4JWVylBcDai1laCmGw7.jpg,sylvester stallone sylvester stallone jason statham jet li thriller adventure action rescue sniper island martial arts tattoo escape mercenary bridge church drugs blade duringcreditsstinger exhilarated
Three Steps Above Heaven,Fernando González Molina,María Valverde,Mario Casas,Álvaro Cervantes,Romance Drama,friendship based on novel or book rebel forbidden love motorcycle crash motor sport street race love best friend motorcycle teenage love first love young love teen rebel based on young adult novel,61979,/nNoMfNPnvEzGADXDkP6eJAP81KB.jpg,fernando gonzález molina maría valverde mario casas álvaro cervantes romance drama friendship based on novel or book rebel forbidden love motorcycle crash motor sport street race love best friend motorcycle teenage love first love young love teen rebel based on young adult novel
Toy Story 3,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Animation Family Comedy,escape hostage college villain sequel buddy daycare teddy bear duringcreditsstinger toy comes to life personification inanimate objects come to life,10193,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,lee unkrich tom hanks tim allen joan cusack animation family comedy escape hostage college villain sequel buddy daycare teddy bear duringcreditsstinger toy comes to life personification inanimate objects come to life
Fashion Show,Lauren Greenfield,,,,,,643652,,lauren greenfield
The Town,Ben Affleck,Ben Affleck,Jeremy Renner,Rebecca Hall,Crime Drama Thriller,"drug dealer based on novel or book ambulance boston, massachusetts money laundering irish-american bank manager massachusetts florist flower shop stolen money hold-up robbery volunteer heist friends boston garden shootout police chase best friend bank robbery car fire fenway park criminal gang desperate fbi agent violence",23168,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,"ben affleck ben affleck jeremy renner rebecca hall crime drama thriller drug dealer based on novel or book ambulance boston, massachusetts money laundering irish-american bank manager massachusetts florist flower shop stolen money hold-up robbery volunteer heist friends boston garden shootout police chase best friend bank robbery car fire fenway park criminal gang desperate fbi agent violence"
Flipped,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Romance Drama,based on novel or book shyness family relationships unrequited love neighbor teenage boy first crush young love opposites attract multiple perspectives 1950s 1960s based on young adult novel,43949,/6zDYFigohwncqFL00MKbFV01dWb.jpg,rob reiner madeline carroll callan mcauliffe rebecca de mornay romance drama based on novel or book shyness family relationships unrequited love neighbor teenage boy first crush young love opposites attract multiple perspectives 1950s 1960s based on young adult novel
Alice in Wonderland,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway,Family Fantasy Adventure,based on novel or book queen psychotic fantasy world taunting live action remake based on young adult novel mischievous absurd dramatic incredulous amused euphoric,12155,/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,tim burton mia wasikowska johnny depp anne hathaway family fantasy adventure based on novel or book queen psychotic fantasy world taunting live action remake based on young adult novel mischievous absurd dramatic incredulous amused euphoric
Despicable Me,Pierre Coffin,Steve Carell,Jason Segel,Miranda Cosgrove,Animation Family Comedy,moon parent child relationship orphanage villain adoptive father life's dream rivalry ballet stealing little girl orphan tomboy intelligent evil doctor duringcreditsstinger supervillain illumination joyful,20352,/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,pierre coffin steve carell jason segel miranda cosgrove animation family comedy moon parent child relationship orphanage villain adoptive father life's dream rivalry ballet stealing little girl orphan tomboy intelligent evil doctor duringcreditsstinger supervillain illumination joyful
The Twilight Saga: Eclipse,David Slade,Kristen Stewart,Robert Pattinson,Taylor Lautner,Adventure Fantasy Drama Romance,based on novel or book immortality vampire bite graduation teen movie werewolf based on young adult novel supernatural power vampire human love,24021,/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,david slade kristen stewart robert pattinson taylor lautner adventure fantasy drama romance based on novel or book immortality vampire bite graduation teen movie werewolf based on young adult novel supernatural power vampire human love
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,Logan Lerman,Brandon T. Jackson,Alexandra Daddario,Adventure Fantasy Family,monster based on novel or book greek mythology dyslexia god poseidon lightning bolt fantasy world demigod based on young adult novel,32657,/brzpTyZ5bnM7s53C1KSk1TmrMO6.jpg,chris columbus logan lerman brandon t. jackson alexandra daddario adventure fantasy family monster based on novel or book greek mythology dyslexia god poseidon lightning bolt fantasy world demigod based on young adult novel
Black Swan,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Drama Thriller Horror,new york city dancing dancer nightmare competition obsession insanity paranoia hallucination ballet dancer ballet female protagonist psychological thriller fear heartbreak mental illness madness macabre reality vs fantasy swan lake ballerina stage performance mysterious aggressive self-harm complex mother daughter relationship self destructiveness theater provocative suspenseful intense pointe shoes antagonistic distressing exhilarated frightened,44214,/viWheBd44bouiLCHgNMvahLThqx.jpg,darren aronofsky natalie portman mila kunis vincent cassel drama thriller horror new york city dancing dancer nightmare competition obsession insanity paranoia hallucination ballet dancer ballet female protagonist psychological thriller fear heartbreak mental illness madness macabre reality vs fantasy swan lake ballerina stage performance mysterious aggressive self-harm complex mother daughter relationship self destructiveness theater provocative suspenseful intense pointe shoes antagonistic distressing exhilarated frightened
Predators,Nimród Antal,Adrien Brody,Topher Grace,Alice Braga,Science Fiction Action Thriller,hunter predator yakuza hunting human beings alien life-form sequel alien alien planet jungle creature soldier warrior,34851,/sx5EuckP7SBQrlMlxg0PLt282WS.jpg,nimród antal adrien brody topher grace alice braga science fiction action thriller hunter predator yakuza hunting human beings alien life-form sequel alien alien planet jungle creature soldier warrior
RED,Robert Schwentke,Bruce Willis,John Malkovich,Morgan Freeman,Action Adventure Comedy Crime Thriller,assassin central intelligence agency (cia) undercover agent kidnapping assault rifle based on comic shootout sniper rifle explosion retired female spy government agent undercover operation black ops first date aggressive vibrant,39514,/8eeK3OB5PeSRQD7BpZcGZKkehG.jpg,robert schwentke bruce willis john malkovich morgan freeman action adventure comedy crime thriller assassin central intelligence agency (cia) undercover agent kidnapping assault rifle based on comic shootout sniper rifle explosion retired female spy government agent undercover operation black ops first date aggressive vibrant
The Secret World of Arrietty,Hiromasa Yonebayashi,Mirai Shida,Ryunosuke Kamiki,Tomokazu Miura,Fantasy Animation Family,based on novel or book cat forest based on children's book little people dollhouse nostalgic anime,51739,/3lSRaSjDp2nkXMQkzzjpRi3035O.jpg,hiromasa yonebayashi mirai shida ryunosuke kamiki tomokazu miura fantasy animation family based on novel or book cat forest based on children's book little people dollhouse nostalgic anime
Megamind,Tom McGrath,Will Ferrell,Brad Pitt,Tina Fey,Animation Action Comedy Family Science Fiction,prison fish saving the world date gun secret identity superhero anti hero dna mayor museum rain villain one-sided love anthropomorphism reporter super villain duringcreditsstinger alien baby stronger villain invincible,38055,/uZ9ytt3sPTx62XTfN56ILSuYWRe.jpg,tom mcgrath will ferrell brad pitt tina fey animation action comedy family science fiction prison fish saving the world date gun secret identity superhero anti hero dna mayor museum rain villain one-sided love anthropomorphism reporter super villain duringcreditsstinger alien baby stronger villain invincible
A Serbian Film,Srđan Spasojević,Srđan 'Žika' Todorović,Sergej Trifunović,Jelena Gavrilović,Crime Horror Thriller,mask pedophilia suicide pornography rape sexual abuse sadism necrophilia insanity perversity masochism controversy snuff sadomasochism porn star serbia sexual violence murder statutory rape fear rape and murder brutality incest evil depravity infanticide murder by gunshot child sexual abuse shocksploitation low budget banned film male rape child homicide,73861,/cToUzXZ9AcUylfIt8vnXhiy6Y9m.jpg,srđan spasojević srđan 'žika' todorović sergej trifunović jelena gavrilović crime horror thriller mask pedophilia suicide pornography rape sexual abuse sadism necrophilia insanity perversity masochism controversy snuff sadomasochism porn star serbia sexual violence murder statutory rape fear rape and murder brutality incest evil depravity infanticide murder by gunshot child sexual abuse shocksploitation low budget banned film male rape child homicide
Incendies,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Drama War Mystery,prison rape middle east muslim militia orphanage son interpreter swimming pool massacre checkpoint political assassination twins incest will domineering mother son incest incest rape,46738,/yH6DAQVgbyj72S66gN4WWVoTjuf.jpg,denis villeneuve lubna azabal mélissa désormeaux-poulin maxim gaudette drama war mystery prison rape middle east muslim militia orphanage son interpreter swimming pool massacre checkpoint political assassination twins incest will domineering mother son incest incest rape
From Paris with Love,Pierre Morel,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,Action Crime Thriller,"central intelligence agency (cia) ambassador paris, france undercover explosive anti hero pimp firearm revelation politician deception car crash gang",26389,/poVoLKLxUqsTLSntA40Po2F78dZ.jpg,"pierre morel john travolta jonathan rhys meyers kasia smutniak action crime thriller central intelligence agency (cia) ambassador paris, france undercover explosive anti hero pimp firearm revelation politician deception car crash gang"
Undisputed III: Redemption,Isaac Florentine,Scott Adkins,Mykel Shannon Jenkins,Mark Ivanir,Action Thriller Crime Drama,prison showdown fight shotgun prison cell fighter champion sequel beating jail tournament brutality jail cell prison fight carrot,38234,/g8KB77SPA7SyU8eid6TAEpt9skU.jpg,isaac florentine scott adkins mykel shannon jenkins mark ivanir action thriller crime drama prison showdown fight shotgun prison cell fighter champion sequel beating jail tournament brutality jail cell prison fight carrot
The Tourist,Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie,Paul Bettany,Action Thriller Romance,"hotel paris, france undercover agent venice, italy fake identity boat chase",37710,/oXe1nw4HcS32YVpvxwsWEVdvEXA.jpg,"florian henckel von donnersmarck johnny depp angelina jolie paul bettany action thriller romance hotel paris, france undercover agent venice, italy fake identity boat chase"
I Saw the Devil,Kim Jee-woon,Lee Byung-hun,Choi Min-sik,Jeon Kuk-hwan,Thriller Horror,psychopath cemetery police chief secret agent revenge murder serial killer mercilessness severed head brutality cannibal tracking device south korea sadistic killer admiring,49797,/zp5NrmYp80axIGiEiYPmm1CW6uH.jpg,kim jee-woon lee byung-hun choi min-sik jeon kuk-hwan thriller horror psychopath cemetery police chief secret agent revenge murder serial killer mercilessness severed head brutality cannibal tracking device south korea sadistic killer admiring
Easy A,Will Gluck,Emma Stone,Penn Badgley,Amanda Bynes,Comedy,high school small town lie loss of virginity coming of age teen movie school female protagonist high school student teen comedy intelligent duringcreditsstinger small town girl rumor teen drama pretend relationship gay friend teenager,37735,/v5f1qO6NJnxWgONgkYg21TW39DT.jpg,will gluck emma stone penn badgley amanda bynes comedy high school small town lie loss of virginity coming of age teen movie school female protagonist high school student teen comedy intelligent duringcreditsstinger small town girl rumor teen drama pretend relationship gay friend teenager
Unthinkable,Gregor Jordan,Samuel L. Jackson,Carrie-Anne Moss,Michael Sheen,Drama Thriller,psychological thriller videotape hard disturbed philosophical serious suspenseful sentimental intense bold cruel empathetic,38199,/6yQqguytl10FhImngDHV90Aqewa.jpg,gregor jordan samuel l. jackson carrie-anne moss michael sheen drama thriller psychological thriller videotape hard disturbed philosophical serious suspenseful sentimental intense bold cruel empathetic
The Man from Nowhere,Lee Jeong-beom,Won Bin,Kim Sae-ron,Kim Tae-hun,Action Thriller Crime,friendship martial arts assassin hero hitman child labour human trafficking protection revenge tragic hero disappearance drugs detached neo-noir organ harvest sentimental ambiguous earnest straightforward,51608,/ld19CFIo27t41JXSGZdaPMUGTxh.jpg,lee jeong-beom won bin kim sae-ron kim tae-hun action thriller crime friendship martial arts assassin hero hitman child labour human trafficking protection revenge tragic hero disappearance drugs detached neo-noir organ harvest sentimental ambiguous earnest straightforward
Knight and Day,James Mangold,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Action Comedy,"central intelligence agency (cia) airport inventor kidnapping boston, massachusetts spy traitor invention protection betrayal on the run fish out of water train attraction boy genius drugged tropical island crash landing airplane trip duringcreditsstinger motorcycle chase seville, spain unassuming action comedy lighthearted sister's wedding rogue spy salzburg, austria",37834,/phhp52CZZJiGYmiOTp9ZBDkGHB3.jpg,"james mangold tom cruise cameron diaz peter sarsgaard action comedy central intelligence agency (cia) airport inventor kidnapping boston, massachusetts spy traitor invention protection betrayal on the run fish out of water train attraction boy genius drugged tropical island crash landing airplane trip duringcreditsstinger motorcycle chase seville, spain unassuming action comedy lighthearted sister's wedding rogue spy salzburg, austria"
Due Date,Todd Phillips,Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,Comedy Drama,highway slacker hitchhiker wallet sunglasses rest stop vicodin waffle,41733,/sBxWS09pOOyXZ0dcnqfqqCAQGan.jpg,todd phillips robert downey jr. zach galifianakis michelle monaghan comedy drama highway slacker hitchhiker wallet sunglasses rest stop vicodin waffle
True Grit,Joel Coen,Jeff Bridges,Hailee Steinfeld,Matt Damon,Drama Adventure Western,bounty hunter based on novel or book father murder loss of loved one texas ranger arkansas alcoholism betrayal eye patch,44264,/tCrB8pcjadZjsDk7rleGJaIv78k.jpg,joel coen jeff bridges hailee steinfeld matt damon drama adventure western bounty hunter based on novel or book father murder loss of loved one texas ranger arkansas alcoholism betrayal eye patch
Scott Pilgrim vs. the World,Edgar Wright,Michael Cera,Mary Elizabeth Winstead,Ellen Wong,Action Comedy Romance,"video game skateboarding ex-boyfriend ex-girlfriend toronto, canada animated scene dating guitar player break-up based on graphic novel group of friends whipping hipster underage girlfriend unconsciousness girl fight vegan aftercreditsstinger garage band band competition",22538,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,"edgar wright michael cera mary elizabeth winstead ellen wong action comedy romance video game skateboarding ex-boyfriend ex-girlfriend toronto, canada animated scene dating guitar player break-up based on graphic novel group of friends whipping hipster underage girlfriend unconsciousness girl fight vegan aftercreditsstinger garage band band competition"
Prince of Persia: The Sands of Time,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Adventure Fantasy Action,persia sandstorm brother against brother armageddon based on video game,9543,/34Vbk8VNMtETTOSG3jCHWwlWr1m.jpg,mike newell jake gyllenhaal gemma arterton ben kingsley adventure fantasy action persia sandstorm brother against brother armageddon based on video game
The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage,Jay Baruchel,Alfred Molina,Fantasy Adventure Action,witch mission magic mystic castle sorcerer's apprentice sorcery sorcerer falling in love based on movie reflection magic trick wizard aftercreditsstinger magical creature statue college student electric power magician magic book live action remake good versus evil electricity salem witch magic ring callback raising the dead,27022,/kffWPQfYLkjsoYEBlFpzqVoTfCV.jpg,jon turteltaub nicolas cage jay baruchel alfred molina fantasy adventure action witch mission magic mystic castle sorcerer's apprentice sorcery sorcerer falling in love based on movie reflection magic trick wizard aftercreditsstinger magical creature statue college student electric power magician magic book live action remake good versus evil electricity salem witch magic ring callback raising the dead
Piranha 3D,Alexandre Aja,Elisabeth Shue,Jerry O'Connell,Steven R. McQueen,Comedy Horror,yacht grave film in film scuba diving creature piranha spring break man eating monster aftercreditsstinger ghoulish,43593,/lMLS2OFBbNYMSB1ZbVp4q2S4zTU.jpg,alexandre aja elisabeth shue jerry o'connell steven r. mcqueen comedy horror yacht grave film in film scuba diving creature piranha spring break man eating monster aftercreditsstinger ghoulish
The Other Guys,Adam McKay,Will Ferrell,Mark Wahlberg,Eva Mendes,Comedy Action Crime,new york city narration sarcasm nypd buddy cop ceo buddy comedy carjacking jumping off a building aftercreditsstinger detectives detective comedy explosions partners,27581,/wNEHNqo3MgHmj3BUiPSqqq5czcm.jpg,adam mckay will ferrell mark wahlberg eva mendes comedy action crime new york city narration sarcasm nypd buddy cop ceo buddy comedy carjacking jumping off a building aftercreditsstinger detectives detective comedy explosions partners
Kick-Ass,Matthew Vaughn,Aaron Taylor-Johnson,Chloë Grace Moretz,Nicolas Cage,Action Crime,hero secret identity crime fighter superhero dark comedy comic book based on comic murder mafia family realism mist adventurer rookie young heroes young adult criminal heroes heroes pretending to be gay intense powerful,23483,/iHMbrTHJwocsNvo5murCBw0CwTo.jpg,matthew vaughn aaron taylor-johnson chloë grace moretz nicolas cage action crime hero secret identity crime fighter superhero dark comedy comic book based on comic murder mafia family realism mist adventurer rookie young heroes young adult criminal heroes heroes pretending to be gay intense powerful
The A-Team,Joe Carnahan,Liam Neeson,Bradley Cooper,Jessica Biel,Action Comedy Crime,"plan mexico explosive war crimes secret mission fear of flying ex-lover tank military court us army military service iraq war veteran military prison betrayal fugitive double crossed drone special forces operative aftercreditsstinger duringcreditsstinger clandestine military operation helicopter chase u.s. general private military company based on tv series airborne ranger awestruck u.s. army ranger cia agent military contractors money printing plates u.s. army hospital u.s. military intelligence frankfurt, germany baghdad, iraq engraving plates",34544,/bkAWEx5g5tvRPjtDQyvIZ7LRxQm.jpg,"joe carnahan liam neeson bradley cooper jessica biel action comedy crime plan mexico explosive war crimes secret mission fear of flying ex-lover tank military court us army military service iraq war veteran military prison betrayal fugitive double crossed drone special forces operative aftercreditsstinger duringcreditsstinger clandestine military operation helicopter chase u.s. general private military company based on tv series airborne ranger awestruck u.s. army ranger cia agent military contractors money printing plates u.s. army hospital u.s. military intelligence frankfurt, germany baghdad, iraq engraving plates"
Tinker Bell and the Great Fairy Rescue,Bradley Raymond,Mae Whitman,Lauren Mote,Michael Sheen,Animation Adventure Family Fantasy,"rescue london, england countryside flying parent child relationship magic fairy tale fairy peter pan vacation friends growing up summer scientist father daughter conflict tinkerbell",44683,/cb7PrVIYbwIadQqWxgSU6CGHJjj.jpg,"bradley raymond mae whitman lauren mote michael sheen animation adventure family fantasy rescue london, england countryside flying parent child relationship magic fairy tale fairy peter pan vacation friends growing up summer scientist father daughter conflict tinkerbell"
Eat Pray Love,Ryan Murphy,Julia Roberts,Javier Bardem,James Franco,Drama Romance,change italy indonesia love travel female protagonist india divorce around the world bali italian cuisine,38167,/nPLoZSLqUeQV37Brm71cRQTVUuY.jpg,ryan murphy julia roberts javier bardem james franco drama romance change italy indonesia love travel female protagonist india divorce around the world bali italian cuisine
Clash of the Titans,Louis Leterrier,Sam Worthington,Gemma Arterton,Mads Mikkelsen,Adventure Fantasy Action,"hades mythology greek mythology zeus god mythological beast medusa sea monster perseus kraken ancient greece based on myths, legends or folklore",18823,/3W6QaC3Vz8UJhr6HRYuGfbNeJCs.jpg,"louis leterrier sam worthington gemma arterton mads mikkelsen adventure fantasy action hades mythology greek mythology zeus god mythological beast medusa sea monster perseus kraken ancient greece based on myths, legends or folklore"
I Spit on Your Grave,Steven R. Monroe,Sarah Butler,Jeff Branson,Tracey Walter,Thriller Crime Horror,rape fondling remake revenge writer garden shears rape and revenge emasculation,43947,/4VZ9eqel8Fsp54KMnesr3xIc67N.jpg,steven r. monroe sarah butler jeff branson tracey walter thriller crime horror rape fondling remake revenge writer garden shears rape and revenge emasculation
Devil,John Erick Dowdle,Chris Messina,Bojana Novaković,Jenny O'Hara,Horror Mystery Thriller,supernatural murder devil trapped sole survivor flickering light lights out trapped in an elevator broken elevator elevator supernatural horror suspense killer among us stuck in elevator,44040,/aivXPSi53H95BoUa5njEYso389s.jpg,john erick dowdle chris messina bojana novaković jenny o'hara horror mystery thriller supernatural murder devil trapped sole survivor flickering light lights out trapped in an elevator broken elevator elevator supernatural horror suspense killer among us stuck in elevator
Salt,Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Action Mystery Thriller,"new york city race against time central intelligence agency (cia) washington dc, usa funeral kidnapping hostage spy revenge on the run shootout mole secret service married woman secret past assassination of president russian spy sleeper agent spy thriller north korea intense cia agent russian defector",27576,/ppXyhOe8UCEOrBRSYqE3SkHwrcR.jpg,"phillip noyce angelina jolie liev schreiber chiwetel ejiofor action mystery thriller new york city race against time central intelligence agency (cia) washington dc, usa funeral kidnapping hostage spy revenge on the run shootout mole secret service married woman secret past assassination of president russian spy sleeper agent spy thriller north korea intense cia agent russian defector"
13,Gela Babluani,Sam Riley,Jason Statham,Mickey Rourke,Drama Thriller,new york city greed ohio flashback remake revenge russian roulette mansion train police detective drug overdose revolver mental hospital death game,44982,/eJAVjARKe3YBabnbhdbYWXD7Hdg.jpg,gela babluani sam riley jason statham mickey rourke drama thriller new york city greed ohio flashback remake revenge russian roulette mansion train police detective drug overdose revolver mental hospital death game
El Infierno,Luis Estrada,Damián Alcázar,Joaquín Cosío,Ernesto Gómez Cruz,Action Crime Western Comedy Drama,drug dealer mexico gun dark comedy organized crime drug cartel mafia death,52629,/vry7NyLM6I0fL53H2KxCX4uAz5H.jpg,luis estrada damián alcázar joaquín cosío ernesto gómez cruz action crime western comedy drama drug dealer mexico gun dark comedy organized crime drug cartel mafia death
Blue Valentine,Derek Cianfrance,Ryan Gosling,Michelle Williams,John Doman,Drama Romance,"depression dancing nurse pennsylvania, usa love at first sight pregnancy classroom marriage bridge dysfunctional family alcoholism love divorce cynical nonlinear timeline abortion student broken marriage romantic tragic",46705,/dc8BdKnDY5Iy28KzUGtHIXuqqFK.jpg,"derek cianfrance ryan gosling michelle williams john doman drama romance depression dancing nurse pennsylvania, usa love at first sight pregnancy classroom marriage bridge dysfunctional family alcoholism love divorce cynical nonlinear timeline abortion student broken marriage romantic tragic"
Khaleja,Trivikram Srinivas,Mahesh Babu,Shafi,Prakash Raj,Action,,56986,/iTwJRCbiMaIaA0gjozXeznfZelk.jpg,trivikram srinivas mahesh babu shafi prakash raj action
Date Night,Shawn Levy,Steve Carell,Tina Fey,Mark Wahlberg,Comedy Action Adventure,"new york city taxi husband wife relationship corruption new jersey expensive restaurant taxi driver blackmail mistaken identity stripper mafia boss muscleman district attorney manhattan, new york city aftercreditsstinger duringcreditsstinger outtakes detectives breaking in thieves married couple with children reservation",35056,/ucEWhj32KEDcFKHMWVeu8r1Q4ld.jpg,"shawn levy steve carell tina fey mark wahlberg comedy action adventure new york city taxi husband wife relationship corruption new jersey expensive restaurant taxi driver blackmail mistaken identity stripper mafia boss muscleman district attorney manhattan, new york city aftercreditsstinger duringcreditsstinger outtakes detectives breaking in thieves married couple with children reservation"
Vampires Suck,Aaron Seltzer,Jenn Proske,Matt Lanter,Chris Riggi,Comedy Fantasy,high school vampire parody spoof prom horror spoof duringcreditsstinger,40264,/ksPKfoXovAiFnBktkCBefsRQ8a1.jpg,aaron seltzer jenn proske matt lanter chris riggi comedy fantasy high school vampire parody spoof prom horror spoof duringcreditsstinger
Little Fockers,Paul Weitz,Robert De Niro,Ben Stiller,Owen Wilson,Comedy Romance,nurse cat father-in-law vomit viagra overbearing father duringcreditsstinger,39451,/90mwPRNMmX9RUGVgKMJMJNQnYX8.jpg,paul weitz robert de niro ben stiller owen wilson comedy romance nurse cat father-in-law vomit viagra overbearing father duringcreditsstinger
